"Treatment","ID","PIC","Head_area","Tail_area","Head_DNA","Tail_DNA","Head_DNA_.","Tail_DNA_.","Head_Radius","Tail_Length","Comet_lenght","Olive_Tail_Moment"
"control","1Con","1Con - 1",3953,39,"1442,62","1,7289500","99,8803","0,11970",35,3,74,"0,042379500"
"control","1Con","1Con - 1",3969,477,"1623,53","32,8587000","98,0162","1,98375",36,7,80,"0,655631000"
"control","1Con","1Con - 1",4550,279,"1700,69","14,0243000","99,1821","0,81788",38,4,81,"0,251187000"
"control","1Con","1Con - 1",4331,313,"1566,03","18,8401000","98,8112","1,18875",37,7,82,"0,429961000"
"control","1Con","1Con - 1",4623,728,"1347,92","75,9220000","94,6678","5,33219",38,4,81,"1,238180000"
"control","1Con","1Con - 2",4155,162,"1534,20","8,0754900","99,4764","0,52361",36,4,77,"0,186328000"
"control","1Con","1Con - 2",4169,274,"1465,81","14,9833000","98,9882","1,01184",36,5,78,"0,323868000"
"control","1Con","1Con - 2",3447,304,"1188,70","18,2608000","98,4870","1,51297",33,8,75,"0,502326000"
"control","1Con","1Con - 2",4062,194,"1387,80","10,3946000","99,2566","0,74343",36,3,76,"0,206898000"
"control","1Con","1Con - 2",3997,265,"1475,75","15,8949000","98,9344","1,06560",35,6,77,"0,370392000"
"control","1Con","1Con - 2",4263,53,"1247,75","2,2939600","99,8165","0,18351",37,3,78,"0,067882600"
"control","1Con","1Con - 3",3833,461,"1603,40","43,4338000","97,3626","2,63741",35,10,81,"0,917920000"
"control","1Con","1Con - 3",4339,135,"1600,17","6,6042900","99,5890","0,41103",37,7,82,"0,149805000"
"control","1Con","1Con - 3",3921,325,"1457,72","19,3152000","98,6923","1,30770",35,7,78,"0,452455000"
"control","1Con","1Con - 3",3930,306,"1353,30","16,8066000","98,7733","1,22666",35,7,78,"0,425795000"
"control","1Con","1Con - 3",3706,2,"1178,11","0,0374897","99,9968","0,00318",34,3,72,"0,001162790"
"control","1Con","1Con - 3",3919,202,"1335,14","10,0968000","99,2494","0,75056",35,5,76,"0,259919000"
"control","1Con","1Con - 4",3936,208,"1553,03","13,4258000","99,1429","0,85708",35,5,76,"0,285343000"
"control","1Con","1Con - 4",4840,267,"1859,92","17,6907000","99,0578","0,94219",39,6,85,"0,338218000"
"control","1Con","1Con - 4",3906,144,"1358,81","6,6301500","99,5144","0,48557",35,3,74,"0,149838000"
"control","1Con","1Con - 4",4119,406,"1651,22","33,5941000","98,0061","1,99393",36,8,81,"0,669561000"
"control","1Con","1Con - 4",4372,407,"1725,99","28,2599000","98,3891","1,61094",37,8,83,"0,548243000"
"control","1Con","1Con - 4",4874,272,"1844,42","15,2157000","99,1818","0,81821",39,4,83,"0,295512000"
"control","1Con","1Con - 4",5151,134,"1923,02","6,2711600","99,6750","0,32505",40,5,86,"0,128027000"
"control","1Con","1Con - 4",4422,226,"1682,26","13,0281000","99,2315","0,76849",37,6,81,"0,279702000"
"control","1Con","1Con - 4",3707,232,"1383,58","12,3341000","99,1164","0,88359",34,6,75,"0,289815000"
"control","1Con","1Con - 5",4365,166,"1621,71","10,2111000","99,3743","0,62571",37,5,80,"0,229119000"
"control","1Con","1Con - 5",4580,70,"1767,05","3,6302200","99,7950","0,20502",38,4,81,"0,077905900"
"control","1Con","1Con - 5",5150,146,"1740,54","6,5666200","99,6241","0,37586",40,5,86,"0,147202000"
"control","1Con","1Con - 5",4619,112,"1539,52","5,4368100","99,6481","0,35191",38,4,81,"0,134323000"
"control","1Con","1Con - 5",4433,402,"1657,93","25,4403000","98,4887","1,51127",37,7,82,"0,481186000"
"control","1Con","1Con - 6",3158,12831,"248,65","625,2630000","28,4521","71,54790",32,166,231,"73,566800000"
"control","1Con","1Con - 6",4614,267,"1786,19","16,4305000","99,0885","0,91148",38,6,83,"0,325809000"
"control","1Con","1Con - 6",4676,342,"1735,22","23,0896000","98,6868","1,31317",38,9,86,"0,488227000"
"control","1Con","1Con - 7",4584,2,"1605,71","0,0314278","99,9980","0,00196",38,3,80,"0,000783180"
"control","1Con","1Con - 7",4593,145,"1617,51","7,2913600","99,5512","0,44875",38,4,81,"0,165902000"
"control","1Con","1Con - 7",3976,435,"1504,60","31,7560000","97,9330","2,06697",35,11,82,"0,714632000"
"control","1Con","1Con - 7",4303,296,"1556,26","15,3061000","99,0261","0,97394",37,4,79,"0,270253000"
